business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,isOpen,is_delayed,delay_days
U001,200750051,ALBER systems,2019-03-05,2019,1929170780,2019-04-18,20190418,,USD,RV,1,6023.53,20190418,NAA8,0,0,999.0
U001,200721222,GO trust,2019-07-10,2019,1929907681,2019-09-22,20190921,,USD,RV,1,17307.51,20190922,NAA8,0,0,999.0
U001,200769623,WAL-MAR in,,2019,1929847863,2019-09-10,20190909,,USD,RV,1,341.14,20190910,NAH4,0,0,999.0
U001,200726979,BJ'S  systems,2019-01-07,2019,1929541405,2019-06-15,20190625,,USD,RV,1,365.87,20190615,NAA8,0,0,999.0
U001,CCCA02,KRAFT  systems,,2019,1929535888,2019-07-05,20190701,,USD,RV,1,32751.88,20190705,NAG2,0,0,999.0
U001,200794332,COST associates,,2020,1930731070,2020-04-07,20200401,,USD,RV,1,3863.93,20200407,NAAX,1,0,999.0
U001,200700919,US  corp,,2019,1928656691,2019-01-23,20190121,,USD,RV,1,39221.31,20190123,NAD1,0,0,999.0
U001,200794332,COST llc,,2020,1930803605,2020-04-23,20200420,,USD,RV,1,74453.01,20200423,NAAX,1,0,999.0
U001,200769623,WAL-MAR corp,,2019,1929497308,2019-06-17,20190615,,USD,RV,1,46961.92,20190617,NAH4,0,0,999.0
U001,200149567,RESER llc,,2019,1929433546,2019-06-04,20190604,,USD,RV,1,51641.33,20190604,NABG,0,0,999.0
U001,200769623,WAL-MAR corp,,2019,1930130044,2019-11-08,20191108,,USD,RV,1,52187.72,20191108,NAH4,0,0,999.0
U001,200769623,WAL-MAR associates,,2020,1930353067,2020-01-04,20200104,,USD,RV,1,4953.83,20200104,NAH4,0,0,999.0
U001,200337148,COAS corporation,2020-06-02,2020,1930415312,2020-01-22,20200120,,USD,RV,1,54714.07,20200122,NAA8,0,0,999.0
U001,200769623,WAL-MAR corp,2020-04-03,2020,1930555074,2020-02-22,20200222,,USD,RV,1,3228.13,20200222,NAH4,0,0,999.0
CA02,CCU001,KRAFT  trust,,2019,2960541801,2019-04-12,20190412,,CAD,RV,1,31715.46,20190414,NAG2,0,0,999.0
U001,200803720,DEC corp,,2020,1930698352,2020-03-25,20200325,,USD,RV,1,138.6,20200316,NAM4,1,0,999.0
U001,200769623,WAL-MAR trust,,2019,1929141059,2019-04-16,20190414,,USD,RV,1,34565.51,20190416,NAH4,0,0,999.0
U001,200759082,INGL in,,2019,1929722196,2019-08-08,20190808,,USD,RV,1,65353.0,20190808,NAA8,0,0,999.0
U001,200769623,WAL-MAR corporation,,2020,1930532562,2020-02-17,20200216,,USD,RV,1,49723.89,20200217,NAH4,0,0,999.0
U001,200769623,WAL-MAR us,,2019,1928638946,2019-01-18,20190117,,USD,RV,1,353.96,20190118,NAH4,0,0,999.0
U001,200230690,DECA systems,2019-10-05,2019,1929274085,2019-05-07,20190507,,USD,RV,1,3435.96,20190501,NAM2,0,0,999.0
U001,200794332,COST co,,2020,1930647189,2020-03-13,20200313,,USD,RV,1,32715.47,20200313,NAAX,1,0,999.0
U001,200020431,DEC us,,2020,1930861637,2020-05-06,20200506,,USD,RV,1,174.72,20200501,NAM4,1,0,999.0
U001,200769623,WAL-MAR ,2019-05-08,2019,1929656804,2019-07-24,20190724,,USD,RV,1,21418.85,20190724,NAH4,0,0,999.0
U001,200701314,MBM  foundation,,2020,1930391457,2020-01-15,20200113,,USD,RV,1,12606.72,20200115,NAA8,0,0,999.0
U001,200742791,QUI us,2020-04-03,2020,1930520098,2020-02-18,20200213,,USD,RV,1,25580.96,20200218,NAA8,0,0,999.0
U001,200743129,BROOKS systems,2019-10-09,2019,1929797274,2019-08-28,20190827,,USD,RV,1,20360.19,20190828,NAA8,0,0,999.0
U001,200769623,WAL-MAR associates,,2020,1930635649,2020-03-12,20200311,,USD,RV,1,767.78,20200312,NAH4,1,0,999.0
U001,200780825,SYSCO FO trust,,2019,1929620499,2019-07-16,20190715,,USD,RV,1,322.48,20190716,NAA8,0,0,999.0
U001,200762301,C&S WH llc,2020-05-02,2020,1930413750,2020-01-21,20200120,,USD,RV,1,91102.25,20200121,NAC6,0,0,999.0
U001,200769369,DI llc,2019-01-04,2019,1928964395,2019-03-15,20190315,,USD,RV,1,73077.72,20190315,NAA8,0,0,999.0
CA02,100030194,AMAZO ,,2019,2960558116,2019-06-30,20190630,,CAD,RV,1,2827.8,20190701,CA10,0,0,999.0
U001,200714710,SYSCO  us,,2019,1929462621,2019-06-10,20190609,,USD,RV,1,3285.62,20190610,NAA8,0,0,999.0
CA02,140106181,THE  corp,,2019,2960562705,2019-07-08,20190708,,CAD,RV,1,6912.0,20190709,CA10,0,0,999.0
U001,100028450,DASA I ,,2019,1929251852,2019-05-06,20190506,,USD,RV,1,24351.25,20190506,NA10,0,0,999.0
U001,200561861,CO in,,2019,1929446470,2019-06-06,20190606,,USD,RV,1,22491.08,20190606,NAA8,0,0,999.0
U001,200622385,US  co,2019-10-05,2019,1929213250,2019-04-26,20190426,,USD,RV,1,981.31,20190426,NAA8,0,0,999.0
U001,200769623,WAL-MAR foundation,,2020,1930395090,2020-01-14,20200113,,USD,RV,1,71008.69,20200114,NAH4,0,0,999.0
U001,200744019,TARG in,,2019,1928711753,2019-02-01,20190130,,USD,RV,1,8445.33,20190201,NAA8,0,0,999.0
U001,200752302,KROGER foundation,2019-03-09,2019,1929760273,2019-08-19,20190819,,USD,RV,1,79935.8,20190819,NAA8,0,0,999.0
CA02,140105785,SHOPPE foundation,,2020,2960624627,2020-03-27,20200327,,CAD,RV,1,2829.6,20200331,CA10,1,0,999.0
U001,200769623,WAL-MAR in,2019-11-02,2019,1928657817,2019-01-24,20190121,,USD,RV,1,13636.19,20190124,NAH4,0,0,999.0
U001,200769623,WAL-MAR llc,2019-08-04,2019,1929027308,2019-03-27,20190325,,USD,RV,1,71047.42,20190327,NAH4,0,0,999.0
U001,200769623,WAL-MAR corporation,,2019,1929485994,2019-06-13,20190613,,USD,RV,1,3748.84,20190613,NAH4,0,0,999.0
U001,200772670,ASSOCIAT co,2019-06-03,2019,1928831527,2019-02-20,20190221,,USD,RV,1,74898.29,20190220,NAU5,0,0,999.0
U001,200769623,WAL-MAR foundation,,2019,1930133339,2019-11-10,20191109,,USD,RV,1,6300.98,20191110,NAH4,0,0,999.0
U001,200769623,WAL-MAR ,,2020,1930577078,2020-02-28,20200227,,USD,RV,1,14514.68,20200228,NAH4,1,0,999.0
U001,200769623,WAL-MAR foundation,,2020,1930774741,2020-04-10,20200410,,USD,RV,1,55400.31,20200410,NAH4,1,0,999.0
U001,200705742,DOT co,,2019,1929249507,2019-05-02,20190502,,USD,RV,1,26520.18,20190502,NAA8,0,0,999.0
U001,200772670,ASSOCIAT corporation,,2020,1930765053,2020-04-09,20200408,,USD,RV,1,174766.36,20200409,NAU5,1,0,999.0
U001,200762301,C&S WH ,2019-01-04,2019,1928964364,2019-03-15,20190314,,USD,RV,1,75138.42,20190315,NAC6,0,0,999.0
U001,200761734,H E BUT in,2019-07-08,2019,1929656725,2019-07-24,20190724,,USD,RV,1,78043.58,20190724,NAA8,0,0,999.0
CA02,140104409,LOB us,,2019,2960552326,2019-06-02,20190603,,CAD,RV,1,51234.16,20190609,CA10,0,0,999.0
U001,200900909,SYSCO systems,,2020,1930645969,2020-03-13,20200312,,USD,RV,1,31512.75,20200313,NA32,1,0,999.0
U001,200769623,WAL-MAR systems,,2020,1930718081,2020-03-30,20200329,,USD,RV,1,19701.55,20200330,NAH4,1,0,999.0
U001,200455322,PEA us,2019-07-11,2019,1929867941,2019-09-12,20190912,,USD,RV,1,42362.3,20190912,NAD5,0,0,999.0
U001,200290370,BARGAIN  corporation,,2019,1929854327,2019-09-10,20190909,,USD,RV,1,6347.86,20190910,NAA8,0,0,999.0
U001,200769623,WAL-MAR systems,2019-10-07,2019,1929559339,2019-06-30,20190629,,USD,RV,1,48129.8,20190630,NAH4,0,0,999.0
U001,200726979,BJ'S  trust,,2020,1930788667,2020-04-16,20200415,,USD,RV,1,132.72,20200416,NAA8,1,0,999.0
U001,200769623,WAL-MAR corp,2019-10-10,2019,1929940577,2019-09-29,20190929,,USD,RV,1,5957.04,20190929,NAH4,0,0,999.0
U001,200769623,WAL-MAR llc,2019-03-09,2019,1929767246,2019-08-21,20190820,,USD,RV,1,423.47,20190821,NAH4,0,0,999.0
U001,100028210,WEST  trust,,2019,1928896405,2019-03-04,20190304,,USD,RV,1,32415.05,20190304,NAA8,0,0,999.0
U001,200769623,WAL-MAR llc,2019-03-09,2019,1929773090,2019-08-22,20190822,,USD,RV,1,1328.25,20190822,NAH4,0,0,999.0
U001,200743129,BROOKS in,,2019,1929670921,2019-07-28,20190728,,USD,RV,1,116300.54,20190728,NAA8,0,0,999.0
U001,200769623,WAL-MAR llc,,2020,1930709919,2020-03-29,20200328,,USD,RV,1,1121.15,20200329,NAH4,1,0,999.0
U001,200769623,WAL-MAR llc,,2020,1930752568,2020-04-06,20200406,,USD,RV,1,11394.84,20200406,NAH4,1,0,999.0
U001,200783609,PROFIC corporation,,2020,1930395778,2020-01-14,20200114,,USD,RV,1,20306.46,20200114,NAA8,0,0,999.0
U001,100033266,INTERN trust,,2019,1930174350,2019-11-25,20191120,,USD,RV,1,17243.1,20191125,NAA8,0,0,999.0
U001,200744019,TARG associates,,2020,1930512246,2020-02-11,20200211,,USD,RV,1,22993.63,20200211,NAA8,0,0,999.0
U001,200705089,JETR foundation,2019-07-08,2019,1929651119,2019-07-23,20190723,,USD,RV,1,18939.75,20190723,NAA8,0,0,999.0
U001,100032262,INTERSTA co,,2019,1929487380,2019-06-18,20190613,,USD,RV,1,13872.48,20190618,NA10,0,0,999.0
U001,200762301,C&S WH systems,,2020,1930461787,2020-02-01,20200131,,USD,RV,1,937.68,20200201,NAC6,0,0,999.0
CA02,140105847,GORDON F co,,2020,2960627274,2020-04-08,20200408,,CAD,RV,1,3685.2,20200408,CA10,1,0,999.0
U001,200769623,WAL-MAR co,2019-09-05,2019,1929221972,2019-04-29,20190427,,USD,RV,1,1170.27,20190429,NAH4,0,0,999.0
U001,200769623,WAL-MAR co,,2019,1928913601,2019-03-07,20190306,,USD,RV,1,23976.32,20190307,NAH4,0,0,999.0
U001,200756072,REINHA trust,,2019,1929061083,2019-04-02,20190401,,USD,RV,1,18828.87,20190402,NAA8,0,0,999.0
U001,200769623,WAL-MAR us,,2019,1930255968,2019-12-10,20191210,,USD,RV,1,720.78,20191210,NAH4,0,0,999.0
U001,200794332,COST in,2019-07-10,2019,1929908065,2019-09-21,20190921,,USD,RV,1,13091.11,20190921,NAAX,0,0,999.0
U001,200353024,DECA ,2020-02-03,2020,1930553179,2020-02-21,20200221,,USD,RV,1,28.32,20200216,NAM4,0,0,999.0
U001,200762301,C&S WH us,,2020,1930452932,2020-01-30,20200129,,USD,RV,1,19665.2,20200130,NAC6,0,0,999.0
U001,200744019,TARG foundation,,2020,1930648342,2020-03-15,20200314,,USD,RV,1,52123.3,20200315,NAA8,1,0,999.0
CA02,140104429,COSTCO corp,2019-09-05,2019,2960542647,2019-04-18,20190418,,CAD,RV,1,67034.28,20190425,CA10,0,0,999.0
U001,200769623,WAL-MAR systems,,2020,1930632791,2020-03-10,20200310,,USD,RV,1,14994.01,20200310,NAH4,1,0,999.0
U001,200769623,WAL-MAR llc,,2020,1930617194,2020-03-06,20200306,,USD,RV,1,36.06,20200306,NAH4,1,0,999.0
U001,200769623,WAL-MAR foundation,,2019,1929313381,2019-05-15,20190514,,USD,RV,1,13112.14,20190515,NAH4,0,0,999.0
U001,200780383,MEIJ associates,,2019,1929436297,2019-06-05,20190605,,USD,RV,1,19997.78,20190605,NAA8,0,0,999.0
U001,200759878,SA llc,2020-06-03,2020,1930448984,2020-01-30,20200128,,USD,RV,1,124047.42,20200130,NAWP,0,0,999.0
U001,200148860,DOLLA llc,,2019,1929855149,2019-09-10,20190910,,USD,RV,1,99386.3,20190910,NAA8,0,0,999.0
U001,200726979,BJ'S  systems,,2019,1929927951,2019-09-27,20190926,,USD,RV,1,2211.63,20190927,NAA8,0,0,999.0
U001,200772595,SAFEW corporation,,2019,1928838009,2019-02-21,20190221,,USD,RV,1,2588.65,20190221,NAGD,0,0,999.0
U001,200772670,ASSOCIAT trust,,2019,1929071770,2019-04-02,20190402,,USD,RV,1,99608.36,20190402,NAU5,0,0,999.0
U001,200769623,WAL-MAR associates,2019-01-04,2019,1928977255,2019-03-19,20190316,,USD,RV,1,16982.59,20190319,NAH4,0,0,999.0
U001,200781803,JRD us,,2019,1929540585,2019-06-25,20190625,,USD,RV,1,1721.07,20190625,NAD1,0,0,999.0
U001,200744019,TARG ,,2019,1929970361,2019-10-06,20191005,,USD,RV,1,13533.21,20191006,NAA8,0,0,999.0
U001,200769623,WAL-MAR ,,2019,1929928863,2019-09-29,20190929,,USD,RV,1,3225.75,20190929,NAH4,0,0,999.0
U001,200719839,ASSOCI in,2019-04-11,2019,1929706222,2019-08-07,20190805,,USD,RV,1,1172.53,20190807,NAVR,0,0,999.0
U001,200794332,COST ,2019-12-04,2019,1929050378,2019-03-29,20190329,,USD,RV,1,32944.47,20190329,NAAX,0,0,999.0
U001,200761734,H E BUT trust,,2019,1930147567,2019-11-13,20191113,,USD,RV,1,11443.14,20191113,NAA8,0,0,999.0
U001,200966888,BIRD-I ,,2020,1930389805,2020-01-10,20200111,,USD,RV,1,4884.0,20200110,NA10,0,0,999.0
U001,200782001,GORDO ,,2019,1928923101,2019-03-07,20190307,,USD,RV,1,38182.86,20190307,NAA8,0,0,999.0
CA02,140118168,RONALD co,,2019,2960541584,2019-04-30,20190430,,CAD,RV,1,24960.0,20190501,CA30,0,0,999.0
U001,200418007,AM in,,2020,1930752243,2020-04-06,20200406,,USD,RV,1,25836.19,20200406,NAA8,1,0,999.0
U001,200331749,SYSC systems,,2019,1930267709,2019-12-12,20191211,,USD,RV,1,17710.21,20191212,NAA8,0,0,999.0
U001,200418007,AM systems,,2019,1928661972,2019-01-24,20190122,,USD,RV,1,7790.06,20190124,NAA8,0,0,999.0
U001,200772595,SAFEW us,,2019,1929581970,2019-07-06,20190706,,USD,RV,1,48577.93,20190706,NAA8,0,0,999.0
U001,200739006,AL foundation,,2020,1930768064,2020-04-15,20200409,,USD,RV,1,4309.05,20200415,NAA8,1,0,999.0
U001,200769623,WAL-MAR co,,2019,1928748491,2019-02-06,20190206,,USD,RV,1,316.8,20190206,NAH4,0,0,999.0
U001,100031704,DELHAIZE associates,,2020,1930789873,2020-04-15,20200416,,USD,RV,1,70181.07,20200415,NAA8,1,0,999.0
U001,200769623,WAL-MAR trust,,2020,1930705172,2020-03-28,20200326,,USD,RV,1,3403.8,20200328,NAH4,1,0,999.0
U001,200020431,DEC ,,2019,1929640795,2019-07-19,20190719,,USD,RV,1,1867.12,20190716,NAM1,0,0,999.0
U001,200794332,COST systems,2020-06-03,2020,1930546685,2020-02-21,20200220,,USD,RV,1,1715.7,20200221,NAGD,0,0,999.0
U001,200900909,SYSCO ,2019-09-07,2019,1929498900,2019-06-19,20190616,,USD,RV,1,31309.71,20190619,NAA8,0,0,999.0
U001,200705742,DOT associates,2019-10-12,2019,1930189164,2019-11-25,20191124,,USD,RV,1,94490.93,20191125,NAAW,0,0,999.0
U001,200769623,WAL-MAR systems,,2020,1930401180,2020-01-15,20200115,,USD,RV,1,6663.09,20200115,NAH4,0,0,999.0
U001,CCCA02,KRAFT  corporation,,2019,1928833837,2019-02-22,20190221,,USD,RV,1,16245.14,20190222,NAG2,0,0,999.0
U001,200744019,TARG corp,,2020,1930476884,2020-02-06,20200205,,USD,RV,1,46665.92,20200206,NAA8,0,0,999.0
U001,200744019,TARG llc,,2019,1928708954,2019-01-31,20190130,,USD,RV,1,20463.04,20190131,NAA8,0,0,999.0
U001,200759878,SA associates,,2019,1929725793,2019-08-09,20190809,,USD,RV,1,26097.25,20190809,NAH4,0,0,999.0
U001,200744019,TARG systems,,2020,1930620634,2020-03-10,20200307,,USD,RV,1,10665.53,20200310,NAGD,1,0,999.0
U001,200739534,OK ,,2019,1929956074,2019-10-02,20191003,,USD,RV,1,19190.96,20191002,NAA8,0,0,999.0
U001,200592182,DECA foundation,,2019,1929206084,2019-04-25,20190425,,USD,RV,1,7642.71,20190416,NAM2,0,0,999.0
U001,200229974,DARDEN D corp,,2019,1929248983,2019-05-02,20190502,,USD,RV,1,22759.63,20190502,NAA8,0,0,999.0
U001,200705742,DOT associates,,2019,1930208800,2019-12-05,20191201,,USD,RV,1,1683.46,20191205,NAA8,0,0,999.0
U001,200803720,DEC llc,,2019,1929378721,2019-05-25,20190525,,USD,RV,1,320.06,20190516,NAM2,0,0,999.0
CA02,140105847,GORDON F llc,,2019,2960544831,2019-05-01,20190501,,CAD,RV,1,33523.0,20190502,CA10,0,0,999.0
U001,200769623,WAL-MAR corp,2020-03-02,2020,1930410307,2020-01-17,20200117,,USD,RV,1,7040.6,20200117,NAH4,0,0,999.0
U001,200965912,C&S W llc,,2019,1930272033,2019-12-13,20191212,,USD,RV,1,45235.58,20191213,NAC6,0,0,999.0
U001,200759878,SA ,,2019,1928557628,2019-01-04,20190103,,USD,RV,1,13873.43,20190104,NAH4,0,0,999.0
U001,200772670,ASSOCIAT ,,2019,1929209707,2019-04-25,20190425,,USD,RV,1,61001.54,20190425,NAU5,0,0,999.0
U001,200769623,WAL-MAR llc,2020-06-03,2020,1930558146,2020-02-25,20200222,,USD,RV,1,17479.1,20200225,NAH4,0,0,999.0
U001,200769623,WAL-MAR llc,,2019,1929871957,2019-09-13,20190913,,USD,RV,1,28649.56,20190913,NAH4,0,0,999.0
U001,200780383,MEIJ us,,2019,1928598541,2019-01-09,20190110,,USD,RV,1,46474.49,20190109,NAA8,0,0,999.0
U001,200759878,SA foundation,,2019,1928556577,2019-01-04,20190103,,USD,RV,1,14516.79,20190104,NAH4,0,0,999.0
U001,200769623,WAL-MAR foundation,,2019,1929464440,2019-06-11,20190610,,USD,RV,1,16101.13,20190611,NAH4,0,0,999.0
U001,200769369,DI ,,2019,1930135532,2019-11-11,20191109,,USD,RV,1,15258.5,20191111,NAA8,0,0,999.0
U001,200769623,WAL-MAR ,,2019,1929961583,2019-10-05,20191004,,USD,RV,1,69527.13,20191005,NAH4,0,0,999.0
U001,100043936,PAPA JO in,,2019,1930038380,2019-10-21,20191021,,USD,RV,1,15026.34,20191021,NA10,0,0,999.0
U001,200726979,BJ'S  ,,2019,1928559607,2019-01-04,20190103,,USD,RV,1,83081.83,20190104,NAA8,0,0,999.0
CA02,140106293,ATLANT llc,,2019,2960551480,2019-05-31,20190531,,CAD,RV,1,38.22,20190608,CA10,0,0,999.0
U001,200794332,COST foundation,2019-01-05,2019,1929143274,2019-04-16,20190413,,USD,RV,1,20557.14,20190416,NAAX,0,0,999.0
U001,200744019,TARG trust,2019-02-10,2019,1929845219,2019-09-07,20190907,,USD,RV,1,37071.97,20190907,NAA8,0,0,999.0
U001,200769623,WAL-MAR us,,2019,1930154343,2019-11-16,20191115,,USD,RV,1,13683.15,20191116,NAH4,0,0,999.0
U001,200900909,SYSCO trust,2019-06-05,2019,1929171854,2019-04-18,20190418,,USD,RV,1,9481.83,20190418,NAA8,0,0,999.0
U001,200726979,BJ'S  systems,2020-09-03,2020,1930559676,2020-02-23,20200224,,USD,RV,1,344.27,20200223,NAA8,0,0,999.0
U001,200772670,ASSOCIAT ,,2019,1929946267,2019-10-03,20191001,,USD,RV,1,2254.37,20191003,NAU5,0,0,999.0
U001,200726979,BJ'S  trust,2019-06-03,2019,1928798697,2019-02-14,20190214,,USD,RV,1,820.4,20190214,NAA8,0,0,999.0
U001,100031704,DELHAIZE systems,2019-04-03,2019,1928698560,2019-01-30,20190129,,USD,RV,1,17231.53,20190130,NAA8,0,0,999.0
U001,200782001,GORDO us,,2019,1928805869,2019-02-20,20190215,,USD,RV,1,1591.96,20190220,NAA8,0,0,999.0
U001,200769623,WAL-MAR ,,2020,1930676002,2020-03-21,20200320,,USD,RV,1,7280.51,20200321,NAH4,1,0,999.0
U001,200759878,SA us,2020-04-02,2020,1930410735,2020-01-19,20200117,,USD,RV,1,38899.31,20200119,NAH4,0,0,999.0
U001,200416837,DEC associates,,2019,1930123212,2019-11-07,20191107,,USD,RV,1,4819.24,20191101,NAM4,0,0,999.0
U001,200936373,SUPE ,,2019,1929469272,2019-06-11,20190611,,USD,RV,1,95073.2,20190611,NAA8,0,0,999.0
U001,200719300,SYSTEMS co,,2019,1929534962,2019-06-26,20190625,,USD,RV,1,13859.37,20190626,NAD1,0,0,999.0
U001,200416837,DEC us,,2019,1929024479,2019-03-25,20190325,,USD,RV,1,20857.19,20190316,NAM1,0,0,999.0
U001,200759878,SA co,,2020,1930340699,2020-01-02,20191231,,USD,RV,1,13768.73,20200102,NAH4,0,0,999.0
U001,200759878,SA in,,2019,1929616920,2019-07-13,20190713,,USD,RV,1,82605.09,20190713,NAH4,0,0,999.0
U013,CC6050,HEIN corporation,,2019,1991834320,2019-11-01,20191101,,USD,RV,1,6377.39,20191101,NAVF,0,0,999.0
U001,200580232,INTERR llc,,2020,1930517452,2020-02-11,20200212,,USD,RV,1,42383.25,20200211,NA10,0,0,999.0
U001,200726979,BJ'S  corporation,,2020,1930585378,2020-03-02,20200301,,USD,RV,1,13681.7,20200302,NAA8,1,0,999.0
U001,200769623,WAL-MAR co,,2019,1929932462,2019-09-27,20190926,,USD,RV,1,1735.16,20190927,NAH4,0,0,999.0
U001,200555117,BURR corp,,2019,1928601558,2019-01-11,20190110,,USD,RV,1,475.69,20190111,NAA8,0,0,999.0
U001,200772670,ASSOCIAT associates,2019-04-12,2019,1930161289,2019-11-16,20191116,,USD,RV,1,58990.76,20191116,NAU5,0,0,999.0
U001,200769623,WAL-MAR corporation,2019-06-12,2019,1930164424,2019-11-19,20191117,,USD,RV,1,12591.43,20191119,NAH4,0,0,999.0
U001,200706844,WINC associates,,2020,1930773419,2020-04-07,20200410,,USD,RV,1,33947.85,20200407,NAA8,1,0,999.0
U001,200769623,WAL-MAR corporation,2019-10-09,2019,1929808599,2019-08-30,20190829,,USD,RV,1,48398.85,20190830,NAH4,0,0,999.0
U001,200769623,WAL-MAR corporation,2019-05-11,2019,1930049347,2019-10-25,20191024,,USD,RV,1,14752.57,20191025,NAH4,0,0,999.0
U001,100032284,KEURIG co,,2019,1929011636,2019-03-24,20190322,,USD,RV,1,8972.99,20190324,NAD4,0,0,999.0
U001,200793830,M llc,,2020,1930767747,2020-04-08,20200409,,USD,RV,1,4537.14,20200408,NAA8,1,0,999.0
U001,200974851,RESTA foundation,2019-10-04,2019,1929034563,2019-03-26,20190326,,USD,RV,1,1686.74,20190326,NAA8,0,0,999.0
U001,200769623,WAL-MAR foundation,,2020,1930750455,2020-04-06,20200405,,USD,RV,1,14355.96,20200406,NAH4,1,0,999.0
U001,200769623,WAL-MAR systems,,2020,1930738904,2020-04-03,20200403,,USD,RV,1,367.71,20200403,NAH4,1,0,999.0
U001,200769623,WAL-MAR corp,2019-05-12,2019,1930189538,2019-11-25,20191124,,USD,RV,1,22096.07,20191125,NAH4,0,0,999.0
U013,CC6050,HEIN systems,2019-12-06,2019,1991822256,2019-02-15,20190215,,USD,RV,1,14278.48,20190215,NAVF,0,0,999.0
U001,200769623,WAL-MAR trust,,2020,1930862467,2020-05-06,20200506,,USD,RV,1,56284.77,20200506,NAH4,1,0,999.0
